amfi_code,date,nav,is_forward_filled
100016,2022-01-03,520.4608,False
100016,2022-01-04,515.0971,False
100016,2022-01-05,521.7239,False
100016,2022-01-06,515.788,False
100016,2022-01-07,515.1639,False
100016,2022-01-08,515.1639,True
100016,2022-01-09,515.1639,True
100016,2022-01-10,510.7136,False
100016,2022-01-11,513.5542,False
100016,2022-01-12,512.3195,False
100016,2022-01-13,510.2445,False
100016,2022-01-14,514.3636,False
100016,2022-01-15,514.3636,True
100016,2022-01-16,514.3636,True
100016,2022-01-17,514.7627,False
100016,2022-01-18,517.3803,False
100016,2022-01-19,513.1866,False
100016,2022-01-20,507.1294,False
100016,2022-01-21,507.871,False
100016,2022-01-22,507.871,True
100016,2022-01-23,507.871,True
100016,2022-01-24,506.7062,False
100016,2022-01-25,509.7762,False
100016,2022-01-26,509.68,False
100016,2022-01-27,510.8661,False
100016,2022-01-28,503.8641,False
100016,2022-01-29,503.8641,True
100016,2022-01-30,503.8641,True
100016,2022-01-31,512.5903,False
100016,2022-02-01,512.1124,False
100016,2022-02-02,515.5386,False
100016,2022-02-03,512.0153,False
100016,2022-02-04,513.6729,False
100016,2022-02-05,513.6729,True
100016,2022-02-06,513.6729,True
100016,2022-02-07,508.0666,False
100016,2022-02-08,510.3595,False
100016,2022-02-09,509.0223,False
100016,2022-02-10,509.4161,False
100016,2022-02-11,512.826,False
100016,2022-02-12,512.826,True
100016,2022-02-13,512.826,True
100016,2022-02-14,507.5435,False
100016,2022-02-15,504.7492,False
100016,2022-02-16,507.0506,False
100016,2022-02-17,516.7872,False
100016,2022-02-18,516.4246,False
100016,2022-02-19,516.4246,True
100016,2022-02-20,516.4246,True
100016,2022-02-21,519.3918,False
100016,2022-02-22,519.1698,False
100016,2022-02-23,528.4118,False
100016,2022-02-24,520.6004,False
100016,2022-02-25,521.3038,False
100016,2022-02-26,521.3038,True
100016,2022-02-27,521.3038,True
100016,2022-02-28,514.1489,False
100016,2022-03-01,503.1674,False
100016,2022-03-02,504.7495,False
100016,2022-03-03,505.6316,False
100016,2022-03-04,504.6233,False
100016,2022-03-05,504.6233,True
100016,2022-03-06,504.6233,True
100016,2022-03-07,504.411,False
100016,2022-03-08,518.6513,False
100016,2022-03-09,517.7387,False
100016,2022-03-10,520.3416,False
100016,2022-03-11,517.6372,False
100016,2022-03-12,517.6372,True
100016,2022-03-13,517.6372,True
100016,2022-03-14,519.2545,False
100016,2022-03-15,518.432,False
100016,2022-03-16,516.825,False
100016,2022-03-17,525.4534,False
100016,2022-03-18,531.2109,False
100016,2022-03-19,531.2109,True
100016,2022-03-20,531.2109,True
100016,2022-03-21,532.1264,False
100016,2022-03-22,521.6911,False
100016,2022-03-23,520.3011,False
100016,2022-03-24,533.1283,False
100016,2022-03-25,532.3194,False
100016,2022-03-26,532.3194,True
100016,2022-03-27,532.3194,True
100016,2022-03-28,537.8012,False
100016,2022-03-29,544.965,False
100016,2022-03-30,546.3002,False
100016,2022-03-31,542.5392,False
100016,2022-04-01,531.285,False
100016,2022-04-02,531.285,True
100016,2022-04-03,531.285,True
100016,2022-04-04,534.7762,False
100016,2022-04-05,531.2213,False
100016,2022-04-06,532.3217,False
100016,2022-04-07,526.7582,False
100016,2022-04-08,525.7986,False
100016,2022-04-09,525.7986,True
100016,2022-04-10,525.7986,True
100016,2022-04-11,526.2264,False
100016,2022-04-12,527.7466,False
100016,2022-04-13,522.8529,False
100016,2022-04-14,528.6739,False
100016,2022-04-15,526.1696,False
100016,2022-04-16,526.1696,True
100016,2022-04-17,526.1696,True
100016,2022-04-18,518.7241,False
100016,2022-04-19,518.493,False
100016,2022-04-20,518.9178,False
100016,2022-04-21,519.9214,False
100016,2022-04-22,526.4763,False
100016,2022-04-23,526.4763,True
100016,2022-04-24,526.4763,True
100016,2022-04-25,525.6507,False
100016,2022-04-26,525.3674,False
100016,2022-04-27,520.5493,False
100016,2022-04-28,524.6005,False
100016,2022-04-29,525.7251,False
100016,2022-04-30,525.7251,True
100016,2022-05-01,525.7251,True
100016,2022-05-02,524.0515,False
100016,2022-05-03,515.5881,False
100016,2022-05-04,522.4674,False
100016,2022-05-05,517.1078,False
100016,2022-05-06,514.6837,False
100016,2022-05-07,514.6837,True
100016,2022-05-08,514.6837,True
100016,2022-05-09,516.5793,False
100016,2022-05-10,511.4204,False
100016,2022-05-11,504.9889,False
100016,2022-05-12,495.8735,False
100016,2022-05-13,499.2941,False
100016,2022-05-14,499.2941,True
100016,2022-05-15,499.2941,True
100016,2022-05-16,497.1556,False
100016,2022-05-17,510.4206,False
100016,2022-05-18,506.2251,False
100016,2022-05-19,502.3871,False
100016,2022-05-20,500.1462,False
100016,2022-05-21,500.1462,True
100016,2022-05-22,500.1462,True
100016,2022-05-23,501.4785,False
100016,2022-05-24,499.6609,False
100016,2022-05-25,502.6257,False
100016,2022-05-26,498.5637,False
100016,2022-05-27,492.78,False
100016,2022-05-28,492.78,True
100016,2022-05-29,492.78,True
100016,2022-05-30,485.277,False
100016,2022-05-31,476.0989,False
100016,2022-06-01,474.1732,False
100016,2022-06-02,473.1602,False
100016,2022-06-03,470.7754,False
100016,2022-06-04,470.7754,True
100016,2022-06-05,470.7754,True
100016,2022-06-06,476.2119,False
100016,2022-06-07,481.6458,False
100016,2022-06-08,480.4735,False
100016,2022-06-09,473.1759,False
100016,2022-06-10,471.0598,False
100016,2022-06-11,471.0598,True
100016,2022-06-12,471.0598,True
100016,2022-06-13,468.8163,False
100016,2022-06-14,466.3477,False
100016,2022-06-15,463.7261,False
100016,2022-06-16,461.2993,False
100016,2022-06-17,459.9666,False
100016,2022-06-18,459.9666,True
100016,2022-06-19,459.9666,True
100016,2022-06-20,457.6317,False
100016,2022-06-21,458.7099,False
100016,2022-06-22,460.4075,False
100016,2022-06-23,456.9604,False
100016,2022-06-24,462.3501,False
100016,2022-06-25,462.3501,True
100016,2022-06-26,462.3501,True
100016,2022-06-27,458.6076,False
100016,2022-06-28,452.344,False
100016,2022-06-29,454.0998,False
100016,2022-06-30,451.0707,False
100016,2022-07-01,452.584,False
100016,2022-07-02,452.584,True
100016,2022-07-03,452.584,True
100016,2022-07-04,443.3196,False
100016,2022-07-05,449.0289,False
100016,2022-07-06,451.9322,False
100016,2022-07-07,446.2213,False
100016,2022-07-08,440.6669,False
100016,2022-07-09,440.6669,True
100016,2022-07-10,440.6669,True
100016,2022-07-11,447.4448,False
100016,2022-07-12,444.7739,False
100016,2022-07-13,441.7416,False
100016,2022-07-14,433.2246,False
100016,2022-07-15,432.1093,False
100016,2022-07-16,432.1093,True
100016,2022-07-17,432.1093,True
100016,2022-07-18,431.4649,False
100016,2022-07-19,434.4201,False
100016,2022-07-20,429.3142,False
100016,2022-07-21,423.8151,False
100016,2022-07-22,425.7236,False
100016,2022-07-23,425.7236,True
100016,2022-07-24,425.7236,True
100016,2022-07-25,429.7419,False
100016,2022-07-26,424.047,False
100016,2022-07-27,428.3319,False
100016,2022-07-28,428.6948,False
100016,2022-07-29,433.0659,False
100016,2022-07-30,433.0659,True
100016,2022-07-31,433.0659,True
100016,2022-08-01,433.0211,False
100016,2022-08-02,423.7137,False
100016,2022-08-03,423.3646,False
100016,2022-08-04,427.5619,False
100016,2022-08-05,424.424,False
100016,2022-08-06,424.424,True
100016,2022-08-07,424.424,True
100016,2022-08-08,423.1925,False
100016,2022-08-09,422.7537,False
100016,2022-08-10,412.293,False
100016,2022-08-11,418.6311,False
100016,2022-08-12,415.5307,False
100016,2022-08-13,415.5307,True
100016,2022-08-14,415.5307,True
100016,2022-08-15,417.6036,False
100016,2022-08-16,417.4997,False
100016,2022-08-17,422.3739,False
100016,2022-08-18,424.1079,False
100016,2022-08-19,423.4485,False
100016,2022-08-20,423.4485,True
100016,2022-08-21,423.4485,True
100016,2022-08-22,420.3416,False
100016,2022-08-23,423.5281,False
100016,2022-08-24,416.803,False
100016,2022-08-25,419.4003,False
100016,2022-08-26,415.5691,False
100016,2022-08-27,415.5691,True
100016,2022-08-28,415.5691,True
100016,2022-08-29,420.401,False
100016,2022-08-30,421.2166,False
100016,2022-08-31,423.8348,False
100016,2022-09-01,424.3603,False
100016,2022-09-02,418.068,False
100016,2022-09-03,418.068,True
100016,2022-09-04,418.068,True
100016,2022-09-05,415.1206,False
100016,2022-09-06,417.805,False
100016,2022-09-07,418.6355,False
100016,2022-09-08,423.2368,False
100016,2022-09-09,424.9639,False
100016,2022-09-10,424.9639,True
100016,2022-09-11,424.9639,True
100016,2022-09-12,421.5737,False
100016,2022-09-13,418.8403,False
100016,2022-09-14,419.437,False
100016,2022-09-15,411.1759,False
100016,2022-09-16,417.5046,False
100016,2022-09-17,417.5046,True
